frame,fps,on_events,off_events
0,41.7,2149,2180
1,64.5,2268,2293
2,71.4,2292,2293
3,65.6,2369,2166
4,62.5,2331,2330
5,60.6,2526,2613
6,59.3,2317,2588
7,58.4,2248,2667
8,57.3,2702,2240
9,56.8,2249,2808
10,56.4,2776,2135
11,56.1,2119,2950
12,55.8,2218,2254
13,55.6,2349,2360
14,55.4,2781,2339
15,55.2,2585,2901
16,54.8,2720,2659
17,54.7,2475,2806
18,54.6,2337,2578
19,54.5,2694,2586
20,54.4,2443,2815
21,56.0,2590,2631
22,57.4,3009,2585
23,57.1,2427,3027
24,56.9,2711,2526
25,56.8,2711,2784
26,56.6,3162,2850
27,56.5,2781,3280
28,56.3,2759,2824
29,56.2,2708,2716
30,56.1,2688,2887
31,55.9,2828,2829
32,55.7,2964,2940
33,55.6,2671,3008
34,55.6,2825,2841
35,55.5,3334,2856
36,55.4,3106,3341
37,55.3,2821,3213
38,55.2,3064,2873
39,55.2,3078,3109
40,55.1,3018,3160
41,55.9,3675,2948
42,56.7,3252,3657
43,56.6,3182,3423
44,56.5,3140,3540
45,56.4,3001,3236
46,56.3,3364,3011
47,56.2,3194,3441
48,56.1,3373,3216
49,56.1,3230,3571
50,55.9,3884,3252
51,55.9,3566,3959
52,55.8,3300,3572
53,55.7,3624,3378
54,55.7,3024,3482
55,55.6,3518,3131
56,55.6,3643,3592
57,55.5,3770,3645
58,55.5,3194,3948
59,55.4,3283,3287
