frame,fps,on_events,off_events
0,41.7,5963,6994
1,45.5,6983,6231
2,46.9,7979,7304
3,47.6,8597,8211
4,48.1,8274,9228
5,48.4,9105,9041
6,48.6,8698,10184
7,48.8,8354,11332
8,48.9,7892,12442
9,49.0,8137,11607
10,49.1,11051,10783
11,49.2,11798,11514
12,49.2,10021,12023
13,49.3,9818,10574
14,49.3,9729,10455
15,49.4,9138,10562
16,49.4,9877,10722
17,49.5,9668,11348
18,49.5,9018,10807
19,49.5,8967,11080
20,49.5,8334,11331
21,49.5,9641,11285
22,49.6,9845,12318
23,49.6,10549,13725
24,49.6,13359,14589
25,49.6,15183,15300
26,49.6,15200,15009
27,49.6,15728,15653
28,49.7,14676,15242
29,49.7,13950,14547
30,49.7,12585,15026
31,49.7,12397,13839
32,49.7,10733,13125
33,49.7,11973,12749
34,49.7,12026,13819
35,49.7,12060,12839
36,49.7,11920,11017
37,49.7,12781,9471
38,49.7,12080,9722
39,49.8,9035,10909
40,49.8,8539,9553
41,49.8,9068,9931
42,49.8,8957,10503
43,49.8,10360,11212
44,49.8,9984,11534
45,49.8,9466,10735
46,49.8,9849,10407
47,49.8,10902,10325
48,49.8,10520,10376
49,49.8,10671,11480
50,49.8,10582,12806
51,49.8,8921,13084
52,49.8,10002,10080
53,49.8,8582,9472
54,49.8,7350,7785
55,49.8,9339,8107
56,49.8,8835,8609
57,49.8,10384,8578
58,49.8,10261,8359
59,49.8,9187,8993
60,49.8,9725,9672
61,50.3,10202,10159
62,50.8,9024,9964
63,50.9,8168,8956
64,50.9,7627,8889
65,50.8,7958,8312
66,50.8,7743,8253
67,50.8,7296,7865
68,50.8,6098,5937
69,50.8,6872,6407
70,50.8,7076,7772
71,50.8,6047,6839
72,50.8,6251,6461
73,50.8,7332,6006
74,50.7,6884,7519
75,50.7,7291,7724
76,50.7,8129,7262
77,50.7,7447,7414
78,50.7,6317,6439
79,50.7,5722,5900
80,50.7,7264,6747
81,50.7,6787,7679
82,50.7,6230,6387
83,50.7,4787,5610
84,50.7,7031,6665
85,50.6,7551,8592
86,50.6,7243,8790
87,50.6,7339,8242
88,50.6,7761,8878
89,50.6,8327,10019
90,50.6,8248,10008
91,50.6,8578,9510
92,50.6,8177,10221
93,50.6,9510,10057
94,50.6,8862,10987
95,50.6,8537,9788
96,50.6,6568,7686
97,50.6,8236,8273
98,50.6,8245,8515
99,50.6,5767,6464
100,50.6,6303,6662
101,50.5,6804,6728
102,50.5,5556,5344
103,50.5,8884,6758
104,50.5,7105,7930
105,50.5,6610,7075
106,50.5,5834,6854
107,50.5,6957,6615
108,50.5,7489,6726
109,50.5,6688,6725
110,50.5,6138,6073
111,50.5,7601,7239
112,50.5,6654,7449
113,50.5,7494,6853
114,50.5,8112,8164
115,50.5,8580,7836
116,50.5,7126,7215
117,50.5,8340,7799
118,50.5,8787,8929
119,50.5,9939,8908
120,50.5,9357,9161
121,50.5,7484,7686
122,50.5,6121,7036
123,50.4,6901,7503
124,50.4,8606,8086
125,50.4,9111,8664
126,50.4,9353,8435
127,50.4,7711,8557
128,50.4,6664,7052
129,50.4,6404,6785
130,50.4,7782,7526
131,50.4,7655,8248
132,50.4,8040,7533
133,50.4,8319,7547
134,50.4,7054,7648
135,50.4,6475,6611
136,50.4,6210,6854
137,50.4,6125,5165
138,50.4,5168,5349
139,50.4,7421,6283
140,50.4,9124,8467
141,50.4,9505,8944
142,50.4,9750,8212
143,50.4,8146,7668
144,50.4,8474,9237
145,50.4,9457,10359
146,50.4,10084,10836
147,50.4,9649,10925
148,50.4,9498,8839
149,50.4,10974,8887
150,50.4,10876,9231
151,50.6,8737,8052
152,50.8,10042,8777
153,50.8,12373,9567
154,50.8,11533,10367
155,50.8,10178,9971
156,50.8,8473,9866
157,50.8,8312,8518
158,50.8,8980,8369
159,50.8,10396,8510
160,50.8,10444,9208
161,50.8,10109,8923
