frame,fps,on_events,off_events
0,41.7,3126,3698
1,64.5,3641,3433
2,78.9,3674,3800
3,70.2,3151,4043
4,65.8,2833,3337
5,63.2,3147,2980
6,61.4,2895,3241
7,60.2,3241,3050
8,59.2,2929,3305
9,58.5,3080,2859
10,57.9,2988,2999
11,57.4,2831,3250
12,57.0,2785,3079
13,56.7,3151,2964
14,56.4,2975,3359
15,56.1,2822,3042
16,55.9,2821,2771
17,55.7,2444,2786
18,55.6,3056,2598
19,55.4,2627,3245
20,55.3,3434,2784
21,55.1,2485,3512
22,55.0,3026,2742
23,54.9,2687,2965
24,54.8,2652,2835
25,54.7,2792,2951
26,54.7,2900,2962
27,54.6,2985,2896
28,54.5,2826,3082
29,54.4,2770,3100
30,54.4,2943,2958
31,54.3,3029,3048
32,54.3,2645,3005
33,54.2,2619,2824
34,54.2,2678,2762
35,54.1,2887,2840
36,54.1,2294,2933
37,54.1,2813,2413
38,54.0,2589,2719
39,54.0,2805,2663
40,53.9,2423,2891
41,53.9,2760,2659
42,53.9,2443,2906
43,53.9,2725,2540
44,53.8,2517,2809
45,53.8,2463,2605
46,53.8,2480,2659
47,53.8,2498,2606
48,53.7,2699,2489
49,53.7,2539,2686
50,53.7,2546,2558
51,53.7,2304,2636
52,53.6,2352,2359
53,53.6,2522,2322
54,53.6,2315,2448
55,53.6,2329,2341
56,53.6,2360,2479
57,53.6,2324,2381
58,53.5,2230,2577
59,53.5,2118,2497
60,53.5,2126,2089
61,53.5,2052,2140
62,53.5,2226,2042
63,53.5,2224,2282
64,53.5,2144,2401
65,53.4,2202,2225
66,53.4,2148,2384
67,53.4,2059,2140
68,53.4,2053,2383
69,53.4,2004,2090
70,53.4,2265,1978
71,53.4,2161,2301
72,53.4,2046,2049
73,53.4,2078,2247
74,53.3,2158,2191
75,53.3,1972,2202
76,53.3,2308,2057
77,53.3,2122,2025
78,53.3,1893,2091
79,53.3,2021,2026
80,53.3,2253,2088
81,53.3,2141,2084
82,53.3,2014,2254
83,53.3,2108,1979
84,53.3,2216,2164
85,53.3,2076,2240
86,53.2,2074,2233
87,53.2,2090,2214
88,53.2,2355,2221
89,53.2,2152,2173
90,53.2,2199,2207
91,53.2,2025,2172
92,53.2,2398,1952
93,53.2,2199,2237
94,53.2,2265,2071
95,53.2,1908,2352
96,53.2,2165,1914
97,53.2,1986,2153
98,53.2,1958,2342
99,53.2,2155,1994
100,53.2,2214,2303
101,53.2,2196,2141
102,53.1,2148,2295
103,53.1,2129,2124
