freq_hz,magnitude
0.000000000000000000e+00,4.260869303101649241e-01
1.323530249121630253e-01,7.247650201874682452e-01
2.647060498243260507e-01,9.257992840902239395e-01
3.970590747364890483e-01,9.258343292915331979e-01
5.294120996486521014e-01,9.258468218378671510e-01
6.617651245608151545e-01,9.258272655965952280e-01
7.941181494729780965e-01,9.258439815299077669e-01
9.264711743851411496e-01,9.258330033717317997e-01
1.058824199297304203e+00,9.258381102216769465e-01
1.191177224209467145e+00,9.258377034724410981e-01
1.323530249121630309e+00,9.258351151030848047e-01
1.455883274033793251e+00,9.258389661326188458e-01
1.588236298945956193e+00,9.258352765350962299e-01
1.720589323858119357e+00,9.258378743286055368e-01
1.852942348770282299e+00,9.258367574872015116e-01
1.985295373682445463e+00,9.258364786225664611e-01
2.117648398594608405e+00,9.258377384212923555e-01
2.250001423506771570e+00,9.258360626531824122e-01
2.382354448418934290e+00,9.258376103256527045e-01
2.514707473331097454e+00,9.258365849997888253e-01
2.647060498243260618e+00,9.258369106129469284e-01
2.779413523155423338e+00,9.258372432574913935e-01
2.911766548067586502e+00,9.258364609063014505e-01
3.044119572979749666e+00,9.258374010546950306e-01
3.176472597891912386e+00,9.258365881840505685e-01
3.308825622804075550e+00,9.258370690822335103e-01
3.441178647716238714e+00,9.258370031891308694e-01
3.573531672628401878e+00,9.258366962503203901e-01
3.705884697540564598e+00,9.258372382214477003e-01
3.838237722452727763e+00,9.258366441909732236e-01
3.970590747364890927e+00,9.258371175841726419e-01
4.102943772277053647e+00,9.258368818855373661e-01
4.235296797189216811e+00,9.258368431600126902e-01
4.367649822101379975e+00,9.258371126339363100e-01
4.500002847013543139e+00,9.258367149090238613e-01
4.632355871925706303e+00,9.258371145223692755e-01
4.764708896837868579e+00,9.258368257977869220e-01
4.897061921750031743e+00,9.258369340433447725e-01
5.029414946662194907e+00,9.258370180684107886e-01
5.161767971574358072e+00,9.258367850206630223e-01
5.294120996486521236e+00,9.258370864027054559e-01
5.426474021398684400e+00,9.258368086587547285e-01
5.558827046310846676e+00,9.258369862334271394e-01
5.691180071223009840e+00,9.258369500071186309e-01
5.823533096135173004e+00,9.258368473149475308e-01
5.955886121047336168e+00,9.258370474986362675e-01
6.088239145959499332e+00,9.258368151869122986e-01
6.220592170871662496e+00,9.258370107557212236e-01
6.352945195783824772e+00,9.258369046359387067e-01
6.485298220695987936e+00,9.258368982762112953e-01
6.617651245608151100e+00,9.258370063788957660e-01
6.750004270520314265e+00,9.258368353234575077e-01
6.882357295432477429e+00,9.258370156382296212e-01
7.014710320344640593e+00,9.258368783270779501e-01
7.147063345256803757e+00,9.258369365004918139e-01
7.279416370168966033e+00,9.258369684103933128e-01
7.411769395081129197e+00,9.258368619469199423e-01
7.544122419993292361e+00,9.258370072497768000e-01
7.676475444905455525e+00,9.258368674437471579e-01
7.808828469817618689e+00,9.258369620024604618e-01
7.941181494729781853e+00,9.258369368441089486e-01
8.073534519641944129e+00,9.258368898966350402e-01
8.205887544554107293e+00,9.258369908346446575e-01
8.338240569466270458e+00,9.258368683356311690e-01
8.470593594378433622e+00,9.258369758184468168e-01
8.602946619290596786e+00,9.258369133646638938e-01
8.735299644202759950e+00,9.258369155224842606e-01
8.867652669114923114e+00,9.258369707020364103e-01
9.000005694027086278e+00,9.258368774391776412e-01
9.132358718939249442e+00,9.258369797062468987e-01
9.264711743851412606e+00,9.258368984362120857e-01
9.397064768763573994e+00,9.258369364431323634e-01
9.529417793675737158e+00,9.258369502745743551e-01
9.661770818587900322e+00,9.258368914249307524e-01
9.794123843500063487e+00,9.258369758765242485e-01
9.926476868412226651e+00,9.258368915770920360e-01
1.005882989332438981e+01,9.258369513739541645e-01
1.019118291823655298e+01,9.258369320956419957e-01
1.032353594314871614e+01,9.258369073513592618e-01
1.045588896806087931e+01,9.258369667410498716e-01
1.058824199297304247e+01,9.258368916135139015e-01
1.072059501788520564e+01,9.258369599637620295e-01
1.085294804279736880e+01,9.258369178461747229e-01
1.098530106770953196e+01,9.258369227965392856e-01
1.111765409262169335e+01,9.258369546825863106e-01
1.125000711753385652e+01,9.258368969257944059e-01
1.138236014244601968e+01,9.258369626173297284e-01
1.151471316735818284e+01,9.258369083948737588e-01
1.164706619227034601e+01,9.258369359486956496e-01
1.177941921718250917e+01,9.258369418577294674e-01
1.191177224209467234e+01,9.258369056836703859e-01
1.204412526700683550e+01,9.258369603007015058e-01
1.217647829191899866e+01,9.258369038895253311e-01
1.230883131683116183e+01,9.258369456451165380e-01
1.244118434174332499e+01,9.258369300441909866e-01
1.257353736665548816e+01,9.258369160600836700e-01
1.270589039156764954e+01,9.258369543369981969e-01
1.283824341647981271e+01,9.258369038863767386e-01
1.297059644139197587e+01,9.258369513566804265e-01
1.310294946630413904e+01,9.258369205408877312e-01
1.323530249121630220e+01,9.258369264112380481e-01
1.336765551612846537e+01,9.258369462056685872e-01
1.350000854104062853e+01,9.258369075075747467e-01
1.363236156595279169e+01,9.258369531219687865e-01
1.376471459086495486e+01,9.258369141244180422e-01
1.389706761577711802e+01,9.258369354125028927e-01
1.402942064068928119e+01,9.258369373595609630e-01
1.416177366560144435e+01,9.258369136125771393e-01
1.429412669051360751e+01,9.258369514403858025e-01
1.442647971542576890e+01,9.258369110601945007e-01
1.455883274033793207e+01,9.258369421435107549e-01
1.469118576525009523e+01,9.258369290729456802e-01
1.482353879016225839e+01,9.258369209679421230e-01
1.495589181507442156e+01,9.258369471375443860e-01
1.508824483998658472e+01,9.258369111614541680e-01
1.522059786489874789e+01,9.258369461205917528e-01
1.535295088981091105e+01,9.258369223304165896e-01
1.548530391472307421e+01,9.258369284005486533e-01
1.561765693963523738e+01,9.258369412182220204e-01
1.575000996454740054e+01,9.258369138852619029e-01
