freq_hz,magnitude
0.000000000000000000e+00,4.011638835990133884e+02
1.352063916437444835e-01,2.541606655186853629e+02
2.704127832874889670e-01,2.219812810088723438e+02
4.056191749312334505e-01,1.684022578791449405e+02
5.408255665749779340e-01,4.751633331381021321e+02
6.760319582187224174e-01,7.246633881413549716e+02
8.112383498624669009e-01,3.977806448907987260e+02
9.464447415062113844e-01,3.330137645025466782e+02
1.081651133149955868e+00,3.776061023524921438e+02
1.216857524793700351e+00,2.176227508541242628e+02
1.352063916437444835e+00,3.950579411634603275e+02
1.487270308081189318e+00,2.522789797514437993e+01
1.622476699724933802e+00,3.996642690911933187e+02
1.757683091368678285e+00,5.075560922972778144e+02
1.892889483012422769e+00,5.751198228115850952e+02
2.028095874656167474e+00,6.990629758588551113e+02
2.163302266299911736e+00,4.274449727487482278e+02
2.298508657943655997e+00,2.292905926735172670e+02
2.433715049587400703e+00,4.173582919825512505e+01
2.568921441231145408e+00,6.640024498179268448e+02
2.704127832874889670e+00,6.608175831313965318e+02
2.839334224518633931e+00,3.221189441041399846e+02
2.974540616162378637e+00,4.076076022363421885e+02
3.109747007806123342e+00,3.678800652818868002e+02
3.244953399449867604e+00,4.686042491604428619e+02
3.380159791093611865e+00,2.553357990344917710e+02
3.515366182737356571e+00,8.977786905347618074e+01
3.650572574381101276e+00,5.595125527089069237e+02
3.785778966024845538e+00,6.676261433250556365e+02
3.920985357668589799e+00,3.785818133807389927e+02
4.056191749312334949e+00,3.733359552410326501e+02
4.191398140956079210e+00,1.169957134187307446e+02
4.326604532599823472e+00,2.588393790621800008e+02
4.461810924243567733e+00,6.012585102429540029e+02
4.597017315887311995e+00,7.532160019156382305e+02
4.732223707531057144e+00,6.171053978956263109e+02
4.867430099174801406e+00,4.716131409022153775e+02
5.002636490818545667e+00,4.401117228240413510e+02
5.137842882462290817e+00,7.166289537764874922e+02
5.273049274106035078e+00,6.289352251920724939e+02
5.408255665749779340e+00,7.106918234960957079e+02
5.543462057393523601e+00,5.151301437289696423e+02
5.678668449037267862e+00,4.266705766939313662e+02
5.813874840681013012e+00,3.061451145406355749e+02
5.949081232324757273e+00,1.578153750233482810e+02
6.084287623968501535e+00,2.186894406680737575e+02
6.219494015612246685e+00,1.003208640156245508e+02
6.354700407255990946e+00,7.965640359449596417e+02
6.489906798899735207e+00,1.042922701520871669e+03
6.625113190543479469e+00,7.186851633243128390e+02
6.760319582187223730e+00,5.308057433312455942e+02
6.895525973830968880e+00,2.329109654609432596e+02
7.030732365474713141e+00,1.266442019594331043e+02
7.165938757118457403e+00,2.590481835689246850e+02
7.301145148762202552e+00,5.543533477649974657e+02
7.436351540405946814e+00,4.947655119383895226e+02
7.571557932049691075e+00,2.312244472452254627e+02
7.706764323693435337e+00,6.827948314611444403e+02
7.841970715337179598e+00,9.121055345385866531e+02
7.977177106980924748e+00,5.126687898375018904e+02
8.112383498624669897e+00,2.506238412926253147e+02
8.247589890268413271e+00,3.522870501852721077e+02
8.382796281912158420e+00,7.332420398359661817e+01
8.518002673555901794e+00,4.021631326207588586e+02
8.653209065199646943e+00,2.794875234388981085e+02
8.788415456843392093e+00,4.081652795644610592e+02
8.923621848487135466e+00,3.055611762987794577e+02
9.058828240130880616e+00,4.454977635815809549e+02
9.194034631774623989e+00,1.004483200634046511e+03
9.329241023418369139e+00,4.044204288254458675e+02
9.464447415062114288e+00,1.077653249225603531e+02
9.599653806705857662e+00,4.048324236805371470e+02
9.734860198349602811e+00,1.659758644325884802e+02
9.870066589993347961e+00,6.115185538869922084e+02
1.000527298163709133e+01,4.924805581136998285e+02
1.014047937328083648e+01,2.008178153538899835e+02
1.027568576492458163e+01,3.354346542072009925e+02
1.041089215656832501e+01,1.933311443333587576e+01
1.054609854821207016e+01,2.967907988935743333e+02
1.068130493985581353e+01,2.326619704025018507e+02
1.081651133149955868e+01,3.488702005991639794e+02
1.095171772314330383e+01,7.083319501836467680e+02
1.108692411478704720e+01,6.465402719241676550e+02
1.122213050643079235e+01,7.344849544645032893e+02
1.135733689807453572e+01,5.127973322417681175e+02
1.149254328971828087e+01,1.781689720107678738e+02
1.162774968136202602e+01,3.900426744255776157e+02
1.176295607300576940e+01,1.529779846279411686e+02
1.189816246464951455e+01,6.577434406787327816e+02
1.203336885629325970e+01,7.263065755123666349e+02
1.216857524793700307e+01,2.397532496346682365e+02
1.230378163958074822e+01,8.285032965232219340e+02
1.243898803122449337e+01,3.848104354440205839e+02
1.257419442286823674e+01,3.791880638744564180e+02
1.270940081451198189e+01,1.357488640880845594e+02
1.284460720615572527e+01,2.459635343945469970e+02
1.297981359779947041e+01,3.102461579759996084e+02
1.311501998944321556e+01,5.711236322590104919e+02
1.325022638108695894e+01,5.865401751695807206e+02
1.338543277273070409e+01,1.853248274965746134e+02
1.352063916437444746e+01,5.880444847579722136e+02
1.365584555601819261e+01,6.721274556666563740e+02
1.379105194766193776e+01,1.826886020398985693e+02
1.392625833930568113e+01,4.768215076868234519e+02
1.406146473094942628e+01,6.115292700486002104e+02
1.419667112259317143e+01,5.925838264586598143e+02
1.433187751423691481e+01,4.718896950507283350e+02
1.446708390588065996e+01,4.011219563015961853e+02
1.460229029752440510e+01,5.241505934688234447e+02
1.473749668916814848e+01,2.539487349363419639e+02
1.487270308081189363e+01,1.092666452690052239e+02
1.500790947245563700e+01,1.107448440407604835e+02
1.514311586409938215e+01,2.691003240204005351e+02
1.527832225574312730e+01,5.516437452471956249e+02
1.541352864738687067e+01,1.973963939649913755e+02
1.554873503903061582e+01,4.661169822321519973e+02
1.568394143067435920e+01,5.485783065187357579e+02
1.581914782231810435e+01,2.767308546472128228e+02
