freq_hz,magnitude
0.000000000000000000e+00,3.232668299502086029e+01
9.731093974258628321e-02,3.863408325138104971e+01
1.946218794851725664e-01,1.170614243531300680e+01
2.919328192277588219e-01,2.475079357454118067e+01
3.892437589703451328e-01,8.690611402878969827e+00
4.865546987129314438e-01,8.715212164749249979e+00
5.838656384555176437e-01,9.570121778117176348e+00
6.811765781981039547e-01,5.701325691735402046e+00
7.784875179406902657e-01,6.987948699451902002e+00
8.757984576832765766e-01,3.277239523980974401e+00
9.731093974258628876e-01,4.969766057169166196e+00
1.070420337168449088e+00,7.860419207434038213e+00
1.167731276911035287e+00,4.231020742837905857e+00
1.265042216653621709e+00,1.026137809624889918e+01
1.362353156396207909e+00,4.238453297687340360e+00
1.459664096138794331e+00,4.734647652768502191e+00
1.556975035881380531e+00,7.669562017687148625e+00
1.654285975623966731e+00,1.895722497366206349e+00
1.751596915366553153e+00,4.630550655036767438e+00
1.848907855109139353e+00,4.064057243544670683e+00
1.946218794851725775e+00,3.061085476094485447e+00
2.043529734594311975e+00,3.646811586891409274e+00
2.140840674336898175e+00,2.771580257315064522e+00
2.238151614079484375e+00,5.772825631101183852e+00
2.335462553822070575e+00,8.022469793413110617e-01
2.432773493564657219e+00,2.511290151269385706e+00
2.530084433307243419e+00,6.248433503616405815e+00
2.627395373049829619e+00,5.451608466977334366e+00
2.724706312792415819e+00,3.369647970624583877e+00
2.822017252535002019e+00,7.123702802298559789e+00
2.919328192277588663e+00,4.738316326675110268e+00
3.016639132020174863e+00,5.149433444256816372e+00
3.113950071762761063e+00,6.069528421291331632e+00
3.211261011505347263e+00,1.117552036448176800e+00
3.308571951247933463e+00,4.832420238655706690e+00
3.405882890990520107e+00,4.951681418108060839e+00
3.503193830733106306e+00,8.701038788046610017e-01
3.600504770475692506e+00,2.570070154845895072e+00
3.697815710218278706e+00,3.816260487391464284e+00
3.795126649960864906e+00,1.508922193755022789e+00
3.892437589703451550e+00,7.918164685944318881e-01
3.989748529446037750e+00,1.020389694605108311e+00
4.087059469188623950e+00,1.832538205361410988e+00
4.184370408931210150e+00,8.403384864931834342e-01
4.281681348673796350e+00,1.525305166737104479e+00
4.378992288416382550e+00,6.130397652887975557e-01
4.476303228158968750e+00,1.546618234802840108e+00
4.573614167901554950e+00,2.206547116343949622e+00
4.670925107644141150e+00,2.802941915741106182e+00
4.768236047386728238e+00,4.767153531937313282e+00
4.865546987129314438e+00,1.717163039851544726e+00
4.962857926871900638e+00,4.520607973642943200e+00
5.060168866614486838e+00,7.063651561382267019e+00
5.157479806357073038e+00,2.438330557111944241e+00
5.254790746099659238e+00,3.135109651327249836e+00
5.352101685842245438e+00,6.510074250140775121e+00
5.449412625584831638e+00,5.045005660229649358e+00
5.546723565327417838e+00,1.130496558342812596e+00
5.644034505070004037e+00,4.108757360213507681e+00
5.741345444812591126e+00,3.094562156138125797e+00
5.838656384555177326e+00,2.505911999606170504e+00
5.935967324297763525e+00,5.999357673141734182e-01
6.033278264040349725e+00,7.404106465388197167e-01
6.130589203782935925e+00,1.305677088774795935e+00
6.227900143525522125e+00,2.088057373325120647e+00
6.325211083268108325e+00,4.390415466983171200e+00
6.422522023010694525e+00,3.790155013101455861e+00
6.519832962753280725e+00,1.544803261552689655e+00
6.617143902495866925e+00,6.051493436329739239e+00
6.714454842238453125e+00,5.587722094602511014e+00
6.811765781981040213e+00,2.128335636106539752e+00
6.909076721723626413e+00,4.725881661365490594e+00
7.006387661466212613e+00,3.599146976717211732e+00
7.103698601208798813e+00,3.323243485811907760e+00
7.201009540951385013e+00,1.872380044668406240e+00
7.298320480693971213e+00,1.178192761216907858e+00
