frame,fps,on_events,off_events
0,41.7,3170,3113
1,62.5,3240,3129
2,76.9,3314,3424
3,69.0,3206,3346
4,64.9,3250,3117
5,62.5,3050,3273
6,60.9,3328,3118
7,59.3,3067,2800
8,58.4,2821,3152
9,57.5,2980,2958
10,57.0,2945,2606
11,56.6,2613,2835
12,56.0,2898,3105
13,55.6,2854,2971
14,55.4,2982,2788
15,55.2,2712,2924
16,54.8,3069,2826
17,54.5,2680,3081
18,54.4,2887,2904
19,54.2,2779,3200
20,54.1,2800,3241
21,53.9,2972,3053
22,53.7,2797,2828
23,53.6,2737,2491
24,53.5,2488,3125
25,53.5,2858,3005
26,53.5,2858,3151
27,53.3,2985,2895
28,53.3,2849,3190
29,53.3,3069,3380
30,53.3,3059,3332
31,54.3,3082,3316
32,55.4,2814,2960
33,55.3,2695,3087
34,55.1,2620,2815
35,55.0,2682,2754
36,55.0,2668,3323
37,54.8,2961,2889
38,54.7,2782,2971
39,54.6,2921,2768
40,54.4,2751,2853
41,54.4,2750,2804
42,54.4,2907,2668
43,54.3,2766,2845
44,54.2,2891,2360
45,54.2,2455,2688
46,54.1,2523,2868
47,54.0,2795,2574
48,54.0,2530,2633
49,53.9,2659,2809
50,53.9,2694,3220
51,53.8,2851,3015
52,53.8,3009,2573
53,53.7,2831,2707
54,53.7,2576,3165
55,53.6,2978,2709
56,53.5,2928,2715
57,53.5,2806,2922
58,53.4,2827,2849
59,53.4,2966,2646
60,53.3,2617,3007
61,53.9,2961,2749
62,54.4,2560,3003
63,54.4,2637,2963
64,54.3,2785,2823
65,54.3,2566,2837
66,54.2,2716,2844
67,54.1,2755,2969
68,54.1,2771,2990
69,54.1,2699,2954
70,54.0,2773,2918
71,54.0,2874,2787
72,54.0,2758,2630
73,53.9,2499,2741
74,53.8,2750,2567
75,53.8,2658,2569
76,53.7,2554,3032
77,53.7,2758,2699
78,53.6,2522,2863
79,53.6,2613,3078
80,53.6,2894,2382
81,53.6,2551,2448
82,53.5,2385,2780
83,53.5,2584,2564
84,53.4,2339,2702
85,53.4,2390,2433
86,53.3,2500,2939
87,53.3,2572,2427
88,53.3,2427,2295
89,53.3,2401,3034
90,53.2,2571,2172
91,53.6,2425,2323
92,54.0,2417,2198
93,54.0,2173,2723
94,53.9,2395,2007
95,53.9,2212,2382
96,53.9,2322,2232
97,53.9,2187,2304
98,53.9,2157,2406
99,53.8,2165,2159
100,53.8,2295,2104
101,53.8,2137,2155
102,53.8,2141,2231
103,53.7,2135,2142
104,53.7,2230,2489
105,53.7,2285,2456
106,53.6,2355,1945
107,53.6,2198,2435
108,53.6,2264,2176
109,53.6,2448,2113
110,53.5,2391,2679
111,53.5,2275,2241
112,53.5,2446,2222
113,53.5,2178,2433
114,53.5,2131,2444
115,53.5,2262,1945
116,53.4,2090,2393
117,53.4,2257,2078
118,53.4,2255,2332
119,53.4,2199,2228
